snapshot_id,model_id,timestamp,symbol,entry_oid,entry_time,entry_price,current_price,quantity,risk_usd,confidence,index_col,margin,leverage,wait_for_fill,tp_oid,sl_oid,oid,liquidation_price,commission,slippage,closed_pnl,unrealized_pnl,exit_profit_target,exit_stop_loss,exit_invalidation_condition
gpt-5_0,gpt-5,1760741958.847073,XRP,204600432746,1760738675.497112,2.339594,2.31705,-7716,600,0.64,,1670.575901,12,False,-1,-1,204600432746,2.4717151438,16.243539000000002,0,-8.12,174.3401,2.19783,2.41611,Close if a 4h candle closes > 2.455 (20EMA + 1xATR14) AND the 4h MACD histogram turns >= 0.
gpt-5_0,gpt-5,1760741958.847073,BTC,204614807391,1760740073.642661,107067.9,106969.5,-0.13,300,0.62,,935.231196,15,False,204614857389,204614868067,204614807391,112754.6529610636,12.523466,0,-6.26,12.72892,102321.7,109362.4,Close if a 4h candle closes > 111193.74 (20EMA + 1xATR14) AND the 4h MACD histogram turns >= 0.
gpt-5_0,gpt-5,1760741958.847073,ETH,204612596778,1760739867.096058,3860,3854.15,-6.21,600,0.63,,1235.436031,20,False,204612651329,204612666095,204612596778,3973.4735295696,21.576769,0,-10.79,37.26,3668.17,3957.79,Close if a 4h candle closes > 4036.82 (20EMA + 1xATR14) AND the 4h MACD histogram turns >= 0.
gpt-5_0,gpt-5,1760741958.847073,SOL,204600508921,1760738682.056187,185.69,183.885,-64.69,500,0.6,,1312.265082,10,False,204600565013,204600580192,204600508921,199.1955507429,10.815528,0,-5.41,116.442,171.889,193.567,Close if a 4h candle closes > 195.958 (20EMA + 1xATR14) AND the 4h MACD histogram turns >= 0.
gpt-5_0,gpt-5,1760741958.847073,BNB,204618880065,1760740455.860772,1076.6,1077.25,-4.81,260,0.6,,512.6283,10,False,204618929451,204618950247,204618880065,1127.4052668053,4.660299999999999,0,-2.33,-2.886,997.02,1131.74,Close if a 4h candle closes > 1181.25 (20EMA + 1xATR14) AND the 4h MACD histogram turns >= 0.
grok-4_0,grok-4,1760742035.326711,XRP,204601816470,1760738795.064534,2.3385,2.31635,-4272,400,0.6,,1090.30008,10,False,-1,-1,204601816470,2.5086049329,8.995531,0,-4.5,95.6928,2.15253,2.43321,If price exceeds 2.5 on 4-hour close
grok-4_0,grok-4,1760742035.326711,DOGE,204608277516,1760739426.489447,0.186354,0.185935,68396,637.876,0.65,,1242.203566,10,False,-1,-1,204608277516,0.1765979653,0.442767,0,-5.74,-29.00478,0.214303,0.177039,If price closes below 0.18 on 4-hour timeframe
grok-4_0,grok-4,1760742035.326711,BTC,204601751388,1760738787.822142,107313.6,106947.5,0.28,450,0.65,,1388.414011,20,False,204601767128,204601782276,204601751388,103280.383323689,0.005311,0,-13.52,-102.38589,112218.5,105774.5,If 4-hour MACD crosses below -2000
grok-4_0,grok-4,1760742035.326711,ETH,204621535484,1760740685.180597,3851.1,3852.75,5.06,650.916,0.7,,1301.932038,15,False,204621543867,204621559787,204621535484,3668.6746716948,0.224931,0,-8.77,7.54274,4171.75,3722.49,If 4-hour MACD crosses below -80
grok-4_0,grok-4,1760742035.326711,SOL,204603984402,1760739003.127084,184.9,183.825,60.44,449.6,0.6,,1047.762689,10,False,204603997696,204604011273,204603984402,170.7635037248,5.02891,0,-5.03,-64.6708,200.237,177.989,If 4-hour MACD crosses below -5
grok-4_0,grok-4,1760742035.326711,BNB,204618969527,1760740463.030889,1076.9,1075.95,7.07,229.5,0.65,,752.085926,10,False,204618980456,204618994700,204618969527,1020.5504465123,2.90763,0,-3.43,-7.07,1142.958,1045.896,If 4-hour MACD crosses below -40
gemini-2.5-pro_0,gemini-2.5-pro,1760742059.09101,XRP,204601548108,1760738772.252957,2.3345,2.31515,-5447,509.98,0.65,,1371.128953,10,False,-1,-1,204601548108,2.5043140065,11.442205000000001,0,-5.72,105.1271,2.149,2.4293,The 4-hour 20-period EMA crosses above the 50-period EMA.
gemini-2.5-pro_0,gemini-2.5-pro,1760742059.09101,DOGE,204610969392,1760739722.47199,0.186343,0.185945,-15908,178.17,0.65,,302.273528,10,False,-1,-1,204610969392,0.1951822412,2.663957,0,-1.33,6.41798,0.15852,0.19769,The 4-hour 20-period EMA crosses above the 50-period EMA.
